Symbol,Name,Sector,Industry
RY.TO,Royal Bank of Canada,Financials,Diversified Banks
TD.TO,Toronto-Dominion Bank,Financials,Diversified Banks
BNS.TO,Bank of Nova Scotia,Financials,Diversified Banks
BMO.TO,Bank of Montreal,Financials,Diversified Banks
CM.TO,Canadian Imperial Bank,Financials,Diversified Banks
ENB.TO,Enbridge Inc,Energy,Oil & Gas Storage & Transportation
CNR.TO,Canadian National Railway,Industrials,Rail Transportation
CP.TO,Canadian Pacific Kansas City,Industrials,Rail Transportation
TRP.TO,TC Energy Corp,Energy,Oil & Gas Storage & Transportation
CNQ.TO,Canadian Natural Resources,Energy,Oil & Gas Exploration & Production
SU.TO,Suncor Energy Inc,Energy,Integrated Oil & Gas
MFC.TO,Manulife Financial,Financials,Life & Health Insurance
SLF.TO,Sun Life Financial,Financials,Life & Health Insurance
ATD.TO,Alimentation Couche-Tard,Consumer Staples,Food Retail
BCE.TO,BCE Inc,Communication Services,Integrated Telecommunication Services
T.TO,TELUS Corp,Communication Services,Integrated Telecommunication Services
ABX.TO,Barrick Gold Corp,Materials,Gold
FNV.TO,Franco-Nevada Corp,Materials,Gold
WCN.TO,Waste Connections Inc,Industrials,Environmental & Facilities Services
NTR.TO,Nutrien Ltd,Materials,Fertilizers & Agricultural Chemicals
QSR.TO,Restaurant Brands International,Consumer Discretionary,Restaurants
CSU.TO,Constellation Software,Information Technology,Application Software
DOL.TO,Dollarama Inc,Consumer Discretionary,General Merchandise Stores
GIB-A.TO,CGI Inc,Information Technology,IT Consulting & Other Services
IFC.TO,Intact Financial Corp,Financials,Property & Casualty Insurance
FTS.TO,Fortis Inc,Utilities,Electric Utilities
H.TO,Hydro One Ltd,Utilities,Electric Utilities
EMA.TO,Emera Inc,Utilities,Electric Utilities
BIP-UN.TO,Brookfield Infrastructure Partners,Utilities,Multi-Utilities
AQN.TO,Algonquin Power & Utilities,Utilities,Multi-Utilities
L.TO,Loblaw Cos Ltd,Consumer Staples,Food Retail
MRU.TO,Metro Inc,Consumer Staples,Food Retail
SAP.TO,Saputo Inc,Consumer Staples,Packaged Foods & Meats
WFG.TO,West Fraser Timber,Materials,Forest Products
CCL-B.TO,CCL Industries Inc,Materials,Paper & Plastic Packaging Products & Materials
TRI.TO,Thomson Reuters Corp,Industrials,Research & Consulting Services
BAM.TO,Brookfield Asset Management,Financials,Asset Management & Custody Banks
BN.TO,Brookfield Corp,Financials,Multi-Sector Holdings
POW.TO,Power Corp of Canada,Financials,Life & Health Insurance
GWO.TO,Great-West Lifeco,Financials,Life & Health Insurance
IGM.TO,IGM Financial Inc,Financials,Asset Management & Custody Banks
NA.TO,National Bank of Canada,Financials,Diversified Banks
CWB.TO,Canadian Western Bank,Financials,Regional Banks
X.TO,TMX Group Ltd,Financials,Financial Exchanges & Data
